Title,Authors,Abstract
Spinal cord injury: molecular mechanisms and therapeutic interventions,"Hu X, Xu W, Ren Y, Wang Z, He X, Huang R, Ma B, Zhao J, Zhu R, Cheng L.","AB  - Spinal cord injury (SCI) remains a severe condition with an extremely high disability rate. The challenges of SCI repair include its complex pathological mechanisms and the difficulties of neural regeneration in the central nervous system. In the past few decades, researchers have attempted to completely elucidate the pathological mechanism of SCI and identify effective strategies to promote axon regeneration and neural circuit remodeling, but the results have not been ideal. Recently, new pathological mechanisms of SCI, especially the interactions between immune and neural cell responses, have been revealed by single-cell sequencing and spatial transcriptome analysis. With the development of bioactive materials and stem cells, more attention has been focused on forming intermediate neural networks to promote neural regeneration and neural circuit reconstruction than on promoting axonal regeneration in the corticospinal tract. Furthermore, technologies to control physical parameters such as electricity, magnetism and ultrasound have been constantly innovated and applied in neural cell fate regulation. Among these advanced novel strategies and technologies, stem cell therapy, biomaterial transplantation, and electromagnetic stimulation have entered into the stage of clinical trials, and some of them have already been applied in clinical treatment. In this review, we outline the overall epidemiology and pathophysiology of SCI, expound on the latest research progress related to neural regeneration and circuit reconstruction in detail, and propose future directions for SCI repair and clinical applications."
Cell-based and stem-cell-based treatments for spinal cord injury: evidence from clinical trials,"Zipser CM, Cragg JJ, Guest JD, Fehlings MG, Jutzeler CR, Anderson AJ, Curt A.","AB  - Spinal cord injury is a severely disabling neurological condition leading to impaired mobility, pain, and autonomic dysfunction. Most often, a single traumatic event, such as a traffic or recreational accident, leads to primary spinal cord damage through compression and laceration, followed by secondary damage consisting of inflammation and ischaemia, and culminating in substantial tissue loss. Patients need appropriate timely surgical and critical care, followed by neurorehabilitation to facilitate neuronal reorganisation and functional compensation. Although some neurological function might be regained, most patients with initially complete lesions have severe, irreversible neurological impairment. Cell-based and stem-cell-based therapies are recognised as promising candidates to promote functional recovery. However, no trials of these therapies in patients have yet provided reproducible evidence for clinical efficacy, challenged by small effect sizes, low immune suppression, and low sensitivity study designs. Nevertheless, in the past decade, clinical trials have shown the feasibility and long-term safety of cell transplantation into the injured spinal cord. This crucial milestone has paved the way to consider refinements and combined therapies, such as the use of biomaterials to augment the effects of cell transplantation. In the future, emerging cell types, scaffolding, and cell engineering might improve cell survival, integration, and therapeutic efficiency."
"Mesenchymal Stem Cells for Spinal Cord Injury: Current Options, Limitations, and Future of Cell Therapy","Cofano F, Boido M, Monticelli M, Zenga F, Ducati A, Vercelli A, Garbossa D.","AB  - Spinal cord injury (SCI) constitutes an inestimable public health issue. The most crucial phase in the pathophysiological process of SCI concerns the well-known secondary injury, which is the uncontrolled and destructive cascade occurring later with aberrant molecular signaling, inflammation, vascular changes, and secondary cellular dysfunctions. The use of mesenchymal stem cells (MSCs) represents one of the most important and promising tested strategies. Their appeal, among the other sources and types of stem cells, increased because of their ease of isolation/preservation and their properties. Nevertheless, encouraging promise from preclinical studies was followed by weak and conflicting results in clinical trials. In this review, the therapeutic role of MSCs is discussed, together with their properties, application, limitations, and future perspectives."
Crosstalk between stem cell and spinal cord injury: pathophysiology and treatment strategies,"Shao A, Tu S, Lu J, Zhang J.","AB  - The injured spinal cord is difficult to repair and regenerate. Traditional treatments are not effective. Stem cells are a type of cells that have the potential to differentiate into various cells, including neurons. They exert a therapeutic effect by safely and effectively differentiating into neurons or replacing damaged cells, secreting neurotrophic factors, and inhibiting the inflammatory response. Many types of stem cells have been used for transplantation, and each has its own advantages and disadvantages. This review discusses the possible mechanisms of stem cell therapy for spinal cord injury, and the types of stem cells commonly used in experiments, to provide a reference for basic and clinical research on stem cell therapy for spinal cord injury."
Mesenchymal stem cell-derived exosomes: therapeutic opportunities and challenges for spinal cord injury,"Liu WZ, Ma ZJ, Li JR, Kang XW.","AB  - Spinal cord injury (SCI) often leads to serious motor and sensory dysfunction of the limbs below the injured segment. SCI not only results in physical and psychological harm to patients but can also cause a huge economic burden on their families and society. As there is no effective treatment method, the prevention, treatment, and rehabilitation of patients with SCI have become urgent problems to be solved. In recent years, mesenchymal stem cells (MSCs) have attracted more attention in the treatment of SCI. Although MSC therapy can reduce injured volume and promote axonal regeneration, its application is limited by tumorigenicity, a low survival rate, and immune rejection. Accumulating literature shows that exosomes have great potential in the treatment of SCI. In this review, we summarize the existing MSC-derived exosome studies on SCI and discuss the advantages and challenges of treating SCI based on exosomes derived from MSCs."
Immune response following traumatic spinal cord injury: Pathophysiology and therapies,"Sterner RC, Sterner RM.","AB  - Traumatic spinal cord injury (SCI) is a devastating condition that is often associated with significant loss of function and/or permanent disability. The pathophysiology of SCI is complex and occurs in two phases. First, the mechanical damage from the trauma causes immediate acute cell dysfunction and cell death. Then, secondary mechanisms of injury further propagate the cell dysfunction and cell death over the course of days, weeks, or even months. Among the secondary injury mechanisms, inflammation has been shown to be a key determinant of the secondary injury severity and significantly worsens cell death and functional outcomes. Thus, in addition to surgical management of SCI, selectively targeting the immune response following SCI could substantially decrease the progression of secondary injury and improve patient outcomes. In order to develop such therapies, a detailed molecular understanding of the timing of the immune response following SCI is necessary. Recently, several studies have mapped the cytokine/chemokine and cell proliferation patterns following SCI. In this review, we examine the immune response underlying the pathophysiology of SCI and assess both current and future therapies including pharmaceutical therapies, stem cell therapy, and the exciting potential of extracellular vesicle therapy."
Mesenchymal Stem Cell Transplantation: Neuroprotection and Nerve Regeneration After Spinal Cord Injury,"Chen SY, Yang RL, Wu XC, Zhao DZ, Fu SP, Lin FQ, Li LY, Yu LM, Zhang Q, Zhang T.","AB  - Traumatic spinal cord injury (SCI) is a leading cause of lifelong disabilities. Permanent sensory, motor and autonomic impairments after SCI are substantially attributed to degeneration of spinal cord neurons and axons, and disintegration of neural network. To date, minimal regenerative treatments are available for SCI with an unmet need for new therapies to reconstruct the damaged spinal cord neuron-glia network and restore connectivity with the supraspinal pathways. Multipotent neural precursor cells (NPCs) have a unique capacity to generate neurons, oligodendrocytes and astrocytes. Due to this capacity, NPCs have been an attractive cell source for cellular therapies for SCI. Transplantation of NPCs has been extensively tested in preclinical models of SCI in the past two decades. These studies have identified opportunities and challenges associated with NPC therapies. While NPCs have the potential to promote neuroregeneration through various mechanisms, their low long-term survival and integration within the host injured spinal cord limit the functional benefits of NPC-based therapies for SCI. To address this challenge, combinatorial strategies have been developed to optimize the outcomes of NPC therapies by enriching SCI microenvironment through biomaterials, genetic and pharmacological therapies. In this review, we will provide an in-depth discussion on recent advances in preclinical NPC-based therapies for SCI. We will discuss modes of actions and mechanism by which engrafted NPCs contribute to the repair process and functional recovery. We will also provide an update on current clinical trials and new technologies that have facilitated preparation of medical-grade human NPCs suitable for transplantation in clinical studies."
Role of Stem Cell-Derived Exosomes and microRNAs in Spinal Cord Injury,"Hwang J, Jang S, Kim C, Lee S, Jeong HS.","AB  - Spinal Cord Injury (SCI), with its morbidity characteristics of high disability rate and high mortality rate, is a disease that is highly destructive to both the physiology and psychology of the patient, and for which there is still a lack of effective treatment. Following spinal cord injury, a cascade of secondary injury reactions known as ischemia, peripheral inflammatory cell infiltration, oxidative stress, etc. create a microenvironment that is unfavorable to neural recovery and ultimately results in apoptosis and necrosis of neurons and glial cells. Mesenchymal stem cell (MSC) transplantation has emerged as a more promising therapeutic options in recent years. MSC can promote spinal cord injury repair through a variety of mechanisms, including immunomodulation, neuroprotection, and nerve regeneration, giving patients with spinal cord injury hope. In this paper, it is discussed the neuroprotection and nerve regeneration components of MSCs' therapeutic method for treating spinal cord injuries."
Progress in Stem Cell Therapy for Spinal Cord Injury,"Gao L, Peng Y, Xu W, He P, Li T, Lu X, Chen G.","AB  - OBJECTIVE: This article provides a review of the initial clinical and radiologic evaluation and treatment of patients with traumatic spinal cord injuries. It specifically highlights essential knowledge for neurologists who encounter patients with these complex injuries. LATEST DEVELOPMENTS: There has been improvement in the care of patients with traumatic spinal cord injuries, particularly in the prehospital evaluation, approach for immediate immobilization, standardized spinal clearance, efficient triage, and transportation of appropriate patients to traumatic spinal cord injury specialized centers. Advancements in spinal instrumentation have improved the surgical management of spinal fractures and the ability to manage patients with spinal mechanical instability. The clinical evidence favors performing early surgical decompression and spine stabilization within 24 hours of traumatic spinal cord injuries, regardless of the severity or location of the injury. There is no evidence that supports the use of neuroprotective treatments to improve outcomes in patients with traumatic spinal cord injuries. The administration of high-dose methylprednisolone, which is associated with significant systemic adverse effects, is strongly discouraged. Early and delayed mortality rates continue to be high in patients with traumatic spinal cord injuries, and survivors often confront substantial long-term physical and functional impairments. Whereas the exploration of neuroregenerative approaches, such as stem cell transplantation, is underway, these methods remain largely investigational. Further research is still necessary to advance the functional recovery of patients with traumatic spinal cord injuries. ESSENTIAL POINTS: Traumatic spinal cord injury is a complex and devastating condition that leads to long-term neurologic deficits with profound physical, social, and vocational implications, resulting in a diminished quality of life, particularly for severely affected patients. The initial management of traumatic spinal cord injuries demands comprehensive interdisciplinary care to address the potentially catastrophic multisystem effects. Ongoing endeavors are focused on optimizing and customizing initial management approaches and developing effective therapies for neuroprotection and neuroregeneration to enhance long-term functional recovery."
Traumatic Spinal Cord Injury,Izzy S.,"AB  - Neurological disorders represent a global health problem. Current pharmacological treatments often lead to short-term symptomatic relief but have dose-dependent side effects, such as inducing orthostatic arterial hypotension due to the blockade of alpha receptors, cardiotoxic effects due to impaired repolarization, and atrioventricular block and tachycardia, including ventricular fibrillation. These challenges have driven the medical community to seek effective treatments for this serious global health threat. Mesenchymal stem cells (MSCs) are pluripotent cells with anti-inflammatory, anti-apoptotic, and immunomodulatory properties, providing a promising alternative due to their ability to differentiate, favorable culture conditions, in vitro manipulation ability, and robust properties. Although MSCs themselves rarely differentiate into neurons at the site of injury after transplantation in vivo, paracrine factors secreted by MSCs can create environmental conditions for cell-to-cell communication and have shown therapeutic effects. Recent studies have shown that the pleiotropic effects of MSCs, particularly their immunomodulatory potential, can be attributed primarily to these paracrine factors. Exosomes derived from MSCs are known to play an important role in these effects. Many studies have evaluated the potential of exosome-based therapies for the treatment of various neurological diseases. In addition to exosomes, various miRNAs derived from MSCs have been identified to regulate genes and alleviate neuropathological changes in neurodegenerative diseases. This review explores the burgeoning field of exosome-based therapies, focusing on the effects of MSC-derived exosomes and exosomal miRNAs, and summarizes recent findings that shed light on the potential of exosomes in the treatment of neurological disorders. The insights gained from this review may pave the way for innovative and effective treatments for these complex conditions. Furthermore, we suggest the therapeutic effects of exosomes and exosomal miRNAs from MSCs, which have a rescue potential in spinal cord injury via diverse signaling pathways."
Mesenchymal Stem Cell Transplantation for Spinal Cord Injury: Current Status and Prospects,"Hirota R, Sasaki M, Honmou O, Yamashita T.","AB  - BACKGROUND: Spinal cord injury (SCI) is one of the serious neurological diseases that occur in young people with high morbidity and disability. However, there is still a lack of effective treatments for it. Stem cell (SC) treatment of SCI has gradually become a new research hotspot over the past decades. This article is aimed at reviewing the research progress of SC therapy for SCI. METHODS: Review the literature and summarize the effects, strategies, related mechanisms, safety, and clinical application of different SC types and new approaches in combination with SC in SCI treatment. RESULTS: A large number of studies have focused on SC therapy for SCI, most of which showed good effects. The common SC types for SCI treatment include mesenchymal stem cells (MSCs), hematopoietic stem cells (HSCs), neural stem cells (NSCs), induced pluripotent stem cells (iPSCs), and embryonic stem cells (ESCs). The modes of treatment include in vivo and in vitro induction. The pathways of transplantation consist of intravenous, transarterial, nasal, intraperitoneal, intrathecal, and intramedullary injections. Most of the SC treatments for SCI use a number of cells ranging from tens of thousands to millions. Early or late SC administration, application of immunosuppressant or not are still controversies. Potential mechanisms of SC therapy include tissue repair and replacement, neurotrophy, and regeneration and promotion of angiogenesis, antiapoptosis, and anti-inflammatory. Common safety issues include thrombosis and embolism, tumorigenicity and instability, infection, high fever, and even death. Recently, some new approaches, such as the pharmacological activation of endogenous SCs, biomaterials, 3D print, and optogenetics, have been also developed, which greatly improved the application of SC therapy for SCI. CONCLUSION: Most studies support the effects of SC therapy on SCI, while a few studies do not. The cell types, mechanisms, and strategies of SC therapy for SCI are very different among studies. In addition, the safety cannot be ignored, and more clinical trials are required. The application of new technology will promote SC therapy of SCI."
Mesenchymal Stem Cell Therapy in Traumatic Spinal Cord Injury: A Systematic Review,"Montoto-Meijide R, Meijide-Faílde R, Díaz-Prado SM, Montoto-Marqués A.","AB  - Recovery from a traumatic spinal cord injury (TSCI) is challenging due to the limited regenerative capacity of the central nervous system to restore cells, myelin, and neural connections. Cell therapy, particularly with mesenchymal stem cells (MSCs), holds significant promise for TSCI treatment. This systematic review aims to analyze the efficacy, safety, and therapeutic potential of MSC-based cell therapies in TSCI. A comprehensive search of PUBMED and COCHRANE databases until February 2023 was conducted, combining terms such as spinal cord injury"
Clinical Trials of Stem Cell Treatment for Spinal Cord Injury,"Yamazaki K, Kawabori M, Seki T, Houkin K.","AB  - Since the 1990s, our group has been conducting basic research on regenerative medicine using various cell types to treat several central nervous system diseases, including spinal cord injury (SCI). We have reported many positive effects of the intravenous administration of mesenchymal stem cells (MSCs) derived from the bone marrow. In the current study, MSCs were administered intravenously to a rat model of severe SCI (crush injury) during the acute to subacute stages-considerable motor function recovery was observed. Furthermore, MSC transplantation in a chronic-phase SCI model improved motor function. In this review, we discuss recent updates in basic research on the intravenous infusion of MSCs and prospects for SCI research."
Neural stem cell therapies for spinal cord injury repair: an update on recent preclinical and clinical advances,"Hosseini SM, Borys B, Karimi-Abdolrezaee S.","AB  - There are more than one million patients worldwide suffering paralysis caused by spinal cord injury (SCI). SCI causes severe socioeconomic problems not only to the patients and their caregivers but also to society; therefore, the development of innovative treatments is crucial. Many pharmacological therapies have been attempted in an effort to reduce SCI-related damage; however, no single therapy that could dramatically improve the serious long-term sequelae of SCI has emerged. Stem cell transplantation therapy, which can ameliorate damage or regenerate neurological networks, has been proposed as a promising candidate for SCI treatment, and many basic and clinical experiments using stem cells for SCI treatment have been launched, with promising results. However, the cell transplantation methods, including cell type, dose, transplantation route, and transplantation timing, vary widely between trials, and there is no consensus regarding the most effective treatment strategy. This study reviews the current knowledge on this issue, with a special focus on the clinical trials that have used stem cells for treating SCI, and highlights the problems that remain to be solved before the widespread clinical use of stem cells can be adopted."
